product,date,malfunction,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature9,active,month,Day_of_week,max_date,failure_before
S1F0,2015-06-01,0,128832128,56,0,52,6,409404,0,7,13046400000000000,6,7,2015-06-01,0
S1F0,2015-11-05,0,115676688,0,0,0,5,689161,0,0,26611200000000000,11,3,2015-11-05,0
S1F0,2015-06-01,0,7441792,0,3,0,6,404786,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-12-02,0,182622184,0,0,0,12,259460,0,0,28944000000000000,12,2,2015-12-02,0
S1F0,2015-06-01,0,185424928,0,0,0,6,412151,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-12-08,0,187540048,0,0,0,19,339283,0,3,29462400000000000,12,1,2015-12-08,0
S1F0,2015-06-01,0,21103248,0,0,41,6,415259,0,1,13046400000000000,6,7,2015-06-01,0
S1F0,2015-12-04,0,6252720,0,0,0,8,426706,0,0,29116800000000000,12,4,2015-12-04,0
S1F0,2015-12-01,0,156754936,0,0,1,19,506684,16,3,28857600000000000,12,1,2015-12-01,1
S1F0,2015-12-08,0,43254744,0,1,0,16,348302,0,0,29462400000000000,12,1,2015-12-08,0
S1F0,2015-06-01,0,94706136,0,323,9,9,409747,0,164,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,26603600,0,0,0,7,390654,0,1,13046400000000000,6,7,2015-06-01,0
S1F0,2015-12-03,0,46007056,0,0,0,2,242345,0,8,29030400000000000,12,3,2015-12-03,0
S1F0,2015-06-01,0,136441184,0,266,1,6,401421,0,2270,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,159834440,1664,0,236,11,302362,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,172600768,168,2,521,3,382898,0,3,13046400000000000,6,7,2015-06-01,0
S1F0,2015-11-05,0,165689192,0,0,0,8,660135,0,0,26611200000000000,11,3,2015-11-05,0
S1F0,2015-06-01,0,80572208,5160,14,1074,11,249515,0,21,13046400000000000,6,7,2015-06-01,0
S1F0,2015-11-05,0,14443880,0,0,0,8,687901,0,0,26611200000000000,11,3,2015-11-05,0
S1F0,2015-06-01,0,27854680,0,0,0,9,397022,0,5,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,240395944,0,0,0,9,413828,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,105791424,0,0,12,14,299488,0,5,13046400000000000,6,7,2015-06-01,0
S1F0,2015-11-05,0,96638896,0,0,0,8,684180,0,0,26611200000000000,11,3,2015-11-05,0
S1F0,2015-06-01,0,128409368,0,0,0,9,391079,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,142338720,0,0,23,14,324388,0,8,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,92888672,0,0,6,4,397246,0,2,13046400000000000,6,7,2015-06-01,0
S1F0,2015-05-01,0,13723560,0,0,0,8,263330,0,0,10368000000000000,5,4,2015-05-01,0
S1F0,2015-12-07,0,1695096,56,0,0,8,268930,0,0,29376000000000000,12,7,2015-12-07,1
S1F0,2015-12-08,0,210127608,0,0,0,7,266049,0,0,29462400000000000,12,1,2015-12-08,0
S1F0,2015-06-01,0,150330472,0,0,4,7,398507,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-12-03,0,242170056,0,9,0,17,344321,0,145,29030400000000000,12,3,2015-12-03,0
S1F0,2015-04-01,0,243217648,392,24929,529,3,339302,0,10137,7776000000000000,4,2,2015-04-01,0
S1F0,2015-06-01,0,239542904,2096,0,57,4,368417,16,65,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,37478248,0,0,0,7,401237,0,51,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,154108728,0,0,8,6,388125,0,1,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,93145616,0,0,7,3,391523,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,174852160,0,14,0,3,401869,0,255,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,99992296,0,0,2,3,380528,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,226201352,0,0,7,4,389939,0,57,13046400000000000,6,7,2015-06-01,0
S1F0,2015-05-01,0,201934440,392,0,0,4,341352,0,1,10368000000000000,5,4,2015-05-01,0
S1F0,2015-05-01,0,12164440,512,0,0,5,335898,0,0,10368000000000000,5,4,2015-05-01,0
S1F0,2015-05-01,0,56574384,936,0,3,4,335893,0,0,10368000000000000,5,4,2015-05-01,0
S1F0,2015-06-01,0,101294976,1960,0,12,5,378070,0,0,13046400000000000,6,7,2015-06-01,0
S1F0,2015-06-01,0,109998416,168,0,0,4,385347,0,1,13046400000000000,6,7,2015-06-01,0
